"id_data","data"
"1","20/05/2014"
"2","27/09/2014"
"3","28/11/2014"
"4","20/12/2014"
"5","28/12/2014"
"6","01/01/2015"
"7","15/01/2015"
"8","27/01/2015"
"9","28/01/2015"
"10","10/02/2015"
"11","14/02/2015"
"12","25/02/2015"
"13","26/02/2015"
"14","05/03/2015"
"15","18/03/2015"
"16","23/03/2015"
"17","04/04/2015"
"18","05/04/2015"
"19","10/04/2015"
"20","24/04/2015"
"21","06/05/2015"
"22","13/05/2015"
"23","15/07/2015"
"24","03/08/2015"
"25","01/09/2015"
"26","04/10/2015"
"27","26/10/2015"
"28","07/11/2015"
"29","03/12/2015"
"30","05/12/2015"
"31","07/12/2015"
"32","19/12/2015"
"33","31/12/2015"
"34","13/01/2016"
"35","26/01/2016"
"36","27/01/2016"
"37","28/01/2016"
"38","29/01/2016"
"39","13/02/2016"
"40","14/02/2016"
"41","24/02/2016"
"42","25/02/2016"
"43","04/03/2016"
"44","05/03/2016"
"45","17/03/2016"
"46","18/03/2016"
"47","22/03/2016"
"48","23/03/2016"
"49","03/04/2016"
"50","04/04/2016"
"51","05/04/2016"
"52","09/04/2016"
"53","10/04/2016"
"54","23/04/2016"
"55","24/04/2016"
"56","01/05/2016"
"57","19/05/2016"
"58","31/05/2016"
"59","14/07/2016"
"60","15/07/2016"
"61","03/08/2016"
"62","31/08/2016"
"63","01/09/2016"
"64","26/09/2016"
"65","04/10/2016"
"66","05/10/2016"
"67","26/10/2016"
"68","06/11/2016"
"69","03/12/2016"
"70","05/12/2016"
"71","07/12/2016"
"72","31/12/2016"
"73","06/01/2017"
"74","26/01/2017"
"75","27/01/2017"
"76","28/01/2017"
"77","01/02/2017"
"78","14/02/2017"
"79","25/02/2017"
"80","05/03/2017"
"81","18/03/2017"
"82","23/03/2017"
"83","04/04/2017"
"84","05/04/2017"
"85","10/04/2017"
"86","24/04/2017"
"87","01/05/2017"
"88","06/05/2017"
"89","11/05/2017"
"90","13/05/2017"
"91","25/05/2017"
"92","31/05/2017"
"93","01/06/2017"
"94","07/06/2017"
"95","15/07/2017"
"96","03/08/2017"
"97","31/08/2017"
"98","01/09/2017"
"99","05/10/2017"
"100","27/10/2017"
"101","04/11/2017"
"102","27/11/2017"
"103","28/11/2017"
"104","03/12/2017"
"105","22/12/2017"
"106","27/12/2017"
"107","28/12/2017"
"108","31/12/2017"
"109","13/01/2018"
"110","15/01/2018"
"111","26/01/2018"
"112","27/01/2018"
"113","28/01/2018"
"114","31/01/2018"
"115","01/02/2018"
"116","25/02/2018"
"117","05/03/2018"
"118","26/03/2018"
"119","04/04/2018"
"120","10/04/2018"
"121","01/05/2018"
"122","11/05/2018"
"123","01/06/2018"
"124","06/06/2018"
"125","07/06/2018"
"126","18/06/2018"
"127","15/07/2018"
"128","27/07/2018"
"129","03/08/2018"
"130","31/08/2018"
"131","01/09/2018"
"132","14/09/2018"
"133","20/09/2018"
"134","05/10/2018"
"135","27/10/2018"
"136","13/11/2018"
"137","03/12/2018"
"138","06/12/2018"
"139","21/12/2018"
"140","22/12/2018"
"141","30/12/2018"
"142","31/12/2018"
"143","23/01/2019"
"144","26/01/2019"
"145","27/01/2019"
"146","28/01/2019"
"147","29/01/2019"
"148","31/01/2019"
"149","25/02/2019"
"150","04/03/2019"
"151","05/03/2019"
"152","11/03/2019"
"153","26/03/2019"
"154","04/04/2019"
"155","05/04/2019"
"156","10/04/2019"
"157","01/05/2019"
"158","10/05/2019"
"159","11/05/2019"
"160","13/05/2019"
"161","25/05/2019"
"162","06/06/2019"
"163","07/06/2019"
"164","17/06/2019"
"165","18/06/2019"
"166","27/07/2019"
"167","03/08/2019"
"168","31/08/2019"
"169","01/09/2019"
"170","14/09/2019"
"171","16/09/2019"
"172","20/09/2019"
"173","05/10/2019"
"174","08/10/2019"
"175","10/10/2019"
"176","14/10/2019"
"177","07/11/2019"
"178","13/11/2019"
"179","14/11/2019"
"180","28/11/2019"
"181","13/12/2019"
"182","21/12/2019"
"183","30/12/2019"
"184","01/01/2020"
"185","06/01/2020"
"186","24/01/2020"
"187","31/01/2020"
"188","11/02/2020"
"189","21/02/2020"
"190","04/03/2020"
"191","11/03/2020"
"192","13/03/2020"
"193","16/03/2020"
"194","27/03/2020"
"195","05/04/2020"
"196","10/04/2020"
"197","01/05/2020"
"198","13/05/2020"
"199","14/05/2020"
"200","22/05/2020"
"201","06/06/2020"
"202","16/06/2020"
"203","17/06/2020"
"204","18/06/2020"
"205","24/06/2020"
"206","25/06/2020"
"207","13/07/2020"
"208","24/07/2020"
"209","27/07/2020"
"210","03/08/2020"
"211","04/08/2020"
"212","19/08/2020"
"213","31/08/2020"
"214","08/09/2020"
"215","05/10/2020"
"216","08/10/2020"
"217","10/10/2020"
"218","14/10/2020"
"219","04/11/2020"
"220","07/11/2020"
"221","13/11/2020"
"222","19/11/2020"
"223","28/11/2020"
"224","21/12/2020"
"225","30/12/2020"
"226","31/12/2020"
"227","05/01/2021"
"228","24/01/2021"
"229","11/02/2021"
"230","21/02/2021"
"231","16/03/2021"
"232","27/03/2021"
"233","05/04/2021"
"234","10/04/2021"
"235","01/05/2021"
"236","10/05/2021"
"237","14/05/2021"
"238","22/05/2021"
"239","16/06/2021"
"240","18/06/2021"
"241","24/06/2021"
"242","13/07/2021"
"243","24/07/2021"
"244","27/07/2021"
"245","04/08/2021"
"246","19/08/2021"
"247","31/08/2021"
"248","08/09/2021"
"249","05/11/2019"
"250","24/10/2019"
"251","24/10/2020"
"252","05/11/2020"
"253","23/01/2020"
"254","31/09/2017"
